shape_id,block_ids,trip_ids
100005,"[354128, 354127, 354130, 354129, 354131]","[3443635, 3443636, 3443637, 3443638, 3443639, 3443640, 3443641, 3443642, 3443643, 3443644, 3443645, 3443646, 3443647, 3443648, 3443649]"
100007,"[354130, 354129, 354131, 354128, 354127]","[3443650, 3443651, 3443652, 3443653, 3443654, 3443655, 3443656, 3443657, 3443658, 3443659, 3443660, 3443661, 3443662, 3443663, 3443664, 3443665]"
120007,"[354124, 354132, 354120, 354122, 354118, 354119]","[3443566, 3443567, 3443568, 3443569, 3443570, 3443571, 3443572, 3443573, 3443574, 3443575, 3443576, 3443577, 3443578, 3443579, 3443580, 3443581, 3443582, 3443583, 3443584, 3443585, 3443586, 3443587, 3443588, 3443589, 3443590, 3443591, 3443592, 3443593, 3443594, 3443595, 3443596, 3443597, 3443633]"
120010,[354118],[3443598]
120008,"[354122, 354118, 354119, 354124, 354132, 354120]","[3443599, 3443600, 3443601, 3443602, 3443603, 3443604, 3443605, 3443606, 3443607, 3443608, 3443609, 3443610, 3443611, 3443612, 3443613, 3443614, 3443615, 3443616, 3443617, 3443618, 3443619, 3443620, 3443621, 3443622, 3443623, 3443624, 3443625, 3443626, 3443627, 3443628, 3443629, 3443630, 3443631, 3443634]"
120009,[354124],[3443632]
130003,"[354117, 354133, 354126]","[3443534, 3443535, 3443536, 3443537, 3443538, 3443539, 3443540, 3443541, 3443542, 3443543, 3443544, 3443545, 3443546, 3443547, 3443548, 3443549]"
130002,"[354126, 354117, 354133]","[3443550, 3443551, 3443552, 3443553, 3443554, 3443555, 3443556, 3443557, 3443558, 3443559, 3443560, 3443561, 3443562, 3443563, 3443564, 3443565]"
160027,"[354131, 354128, 354127, 354130, 354129]","[3443501, 3443502, 3443503, 3443504, 3443505, 3443506, 3443507, 3443508, 3443509, 3443510, 3443511, 3443512, 3443513, 3443514, 3443515, 3443516]"
160026,"[354129, 354131, 354128, 354127, 354130]","[3443517, 3443518, 3443519, 3443520, 3443521, 3443522, 3443523, 3443524, 3443525, 3443526, 3443527, 3443528, 3443529, 3443530, 3443531, 3443532]"
160028,[354129],[3443533]
190002,"[354126, 354117, 354133]","[3443469, 3443470, 3443471, 3443472, 3443473, 3443474, 3443475, 3443476, 3443477]"
190001,"[354126, 354117, 354133]","[3443478, 3443479, 3443480, 3443481, 3443482, 3443483, 3443484]"
190003,"[354126, 354117, 354133]","[3443485, 3443486, 3443487, 3443488, 3443489, 3443490, 3443491, 3443492, 3443493]"
190004,"[354126, 354117, 354133]","[3443494, 3443495, 3443496, 3443497, 3443498, 3443499, 3443500]"
10027,"[354107, 354108, 354102, 354103]","[3443666, 3443667, 3443668, 3443669, 3443670, 3443671, 3443672, 3443673, 3443674, 3443675, 3443676, 3443677, 3443678, 3443679, 3443680, 3443681, 3443682, 3443683, 3443684, 3443685, 3443686, 3443687, 3443688, 3443689, 3443690, 3443717]"
10010,"[354108, 354107, 354103, 354102]","[3443691, 3443692, 3443693, 3443694, 3443695, 3443696, 3443697, 3443698, 3443699, 3443700, 3443701, 3443702, 3443703, 3443704, 3443705, 3443706, 3443707, 3443708, 3443709, 3443710, 3443711, 3443712, 3443713, 3443714, 3443715, 3443716]"
2010013,"[354134, 354137, 354135, 354136, 354138]","[3443336, 3443337, 3443338, 3443339, 3443340, 3443341, 3443342, 3443343, 3443344, 3443345, 3443346, 3443347, 3443348, 3443349, 3443350, 3443351, 3443352, 3443353, 3443354, 3443355, 3443356, 3443357, 3443358, 3443359, 3443360, 3443361, 3443362, 3443363, 3443364, 3443365, 3443366, 3443367, 3443368, 3443369, 3443370]"
2010014,"[354134, 354135, 354136, 354138, 354137]","[3443371, 3443372, 3443373, 3443374, 3443375, 3443376, 3443377, 3443378, 3443379, 3443380, 3443381, 3443382, 3443383, 3443384, 3443385, 3443386, 3443387, 3443388, 3443389, 3443390, 3443391, 3443392, 3443393, 3443394, 3443395, 3443396, 3443397, 3443398, 3443399, 3443400, 3443401, 3443402, 3443403, 3443404, 3443405]"
2020006,"[354112, 354109, 354116, 354115, 354113, 354114, 354110, 354111]","[3443268, 3443269, 3443270, 3443271, 3443272, 3443273, 3443274, 3443275, 3443276, 3443277, 3443278, 3443279, 3443280, 3443281, 3443282, 3443283, 3443284, 3443285, 3443286, 3443287, 3443288, 3443289, 3443290, 3443291, 3443292, 3443293, 3443294, 3443295, 3443296, 3443297, 3443298, 3443299, 3443300, 3443301]"
2020005,"[354112, 354116, 354115, 354113, 354114, 354110, 354111, 354109]","[3443302, 3443303, 3443304, 3443305, 3443306, 3443307, 3443308, 3443309, 3443310, 3443311, 3443312, 3443313, 3443314, 3443315, 3443316, 3443317, 3443318, 3443319, 3443320, 3443321, 3443322, 3443323, 3443324, 3443325, 3443326, 3443327, 3443328, 3443329, 3443330, 3443331, 3443332, 3443333, 3443334, 3443335]"
2030012,"[353172, 353170, 353171]","[3442585, 3442586, 3442587, 3442588, 3442589, 3442590, 3442591, 3442592, 3442593, 3442594, 3442595, 3442596, 3442597]"
2030013,"[353172, 353171, 353170]","[3442598, 3442599, 3442600, 3442601, 3442602, 3442603, 3442604, 3442605, 3442606, 3442607, 3442608, 3442609, 3442610]"
2040011,"[354109, 354112, 354113, 354114, 354110, 354111, 354116, 354115]","[3443201, 3443202, 3443203, 3443204, 3443205, 3443206, 3443207, 3443208, 3443209, 3443210, 3443211, 3443212, 3443213, 3443214, 3443215, 3443216, 3443217, 3443218, 3443219, 3443220, 3443221, 3443222, 3443223, 3443224, 3443225, 3443226, 3443227, 3443228, 3443229, 3443230, 3443231, 3443232, 3443233]"
2040012,"[354111, 354110, 354109, 354116, 354115, 354112, 354113, 354114]","[3443234, 3443235, 3443236, 3443237, 3443238, 3443239, 3443240, 3443241, 3443242, 3443243, 3443244, 3443245, 3443246, 3443247, 3443248, 3443249, 3443250, 3443251, 3443252, 3443253, 3443254, 3443255, 3443256, 3443257, 3443258, 3443259, 3443260, 3443261, 3443262, 3443263, 3443264, 3443265, 3443266, 3443267]"
2050007,"[354111, 354114, 354110, 354109, 354116, 354115, 354112, 354113]","[3443133, 3443134, 3443135, 3443136, 3443137, 3443138, 3443139, 3443140, 3443141, 3443142, 3443143, 3443144, 3443145, 3443146, 3443147, 3443148, 3443149, 3443150, 3443151, 3443152, 3443153, 3443154, 3443155, 3443156, 3443157, 3443158, 3443159, 3443160, 3443161, 3443162, 3443163, 3443164, 3443165, 3443166]"
2050010,[354111],[3443167]
2050016,"[354110, 354113, 354114, 354111, 354109, 354116, 354115, 354112]","[3443168, 3443169, 3443170, 3443171, 3443172, 3443173, 3443174, 3443175, 3443176, 3443177, 3443178, 3443179, 3443180, 3443181, 3443182, 3443183, 3443184, 3443185, 3443186, 3443187, 3443188, 3443189, 3443190, 3443191, 3443192, 3443193, 3443194, 3443195, 3443196, 3443197, 3443198, 3443199, 3443200]"
2060017,"[353162, 353163, 353164]","[3443718, 3443719, 3443734, 3443735]"
2060010,"[353164, 353162, 353166, 353163, 353161, 353165]","[3443720, 3443721, 3443722, 3443723, 3443724, 3443725, 3443726, 3443727, 3443728, 3443729, 3443730, 3443731, 3443732, 3443733, 3443736, 3443769, 3443772, 3443774, 3443776, 3443777, 3443778, 3443779, 3443780, 3443781, 3443782, 3443783, 3443784]"
2060031,"[353164, 353162, 353166, 353163, 353165]","[3443737, 3443738, 3443739, 3443740, 3443741, 3443742, 3443743, 3443744, 3443745, 3443746, 3443747, 3443748, 3443749, 3443750, 3443751, 3443752, 3443753, 3443754, 3443755, 3443756, 3443757, 3443758, 3443759, 3443760, 3443761, 3443762, 3443763, 3443764, 3443765, 3443766, 3443768]"
2060018,[353160],[3443767]
2060036,"[353161, 353162]","[3443770, 3443775]"
2060012,[353161],[3443771]
2060013,[353163],[3443773]
200003,"[354105, 354104, 354106]","[3443406, 3443407, 3443408, 3443409, 3443410, 3443411, 3443412, 3443413, 3443414, 3443415, 3443416, 3443417, 3443418, 3443419, 3443420, 3443421, 3443422, 3443423, 3443424, 3443425, 3443426, 3443427, 3443428, 3443429, 3443430, 3443431, 3443432, 3443433, 3443434, 3443435, 3443436]"
200019,"[354104, 354106, 354105]","[3443437, 3443438, 3443439, 3443440, 3443441, 3443442, 3443443, 3443444, 3443445, 3443446, 3443447, 3443448, 3443449, 3443450, 3443451, 3443452, 3443453, 3443454, 3443455, 3443456, 3443457, 3443458, 3443459, 3443460, 3443461, 3443462, 3443463, 3443464, 3443465, 3443466, 3443467, 3443468]"
280004,"[354128, 354127, 354130, 354129, 354131]","[3442972, 3442973, 3442974, 3442975, 3442976, 3442977, 3442978, 3442979, 3442980, 3442981, 3442982, 3442983, 3442984, 3442985, 3442986, 3443002]"
280005,"[354128, 354127, 354130, 354129, 354131]","[3442987, 3442988, 3442989, 3442990, 3442991, 3442992, 3442993, 3442994, 3442995, 3442996, 3442997, 3442998, 3442999, 3443000, 3443001]"
3010005,"[353129, 353124, 353126, 353128, 353123, 353125, 353127]","[3443003, 3443004, 3443005, 3443006, 3443007, 3443008, 3443009, 3443010, 3443011, 3443012, 3443013, 3443014, 3443015, 3443016, 3443017, 3443018, 3443019, 3443020, 3443021, 3443022, 3443023, 3443024, 3443025, 3443026, 3443027, 3443028, 3443029, 3443030, 3443031, 3443032, 3443033, 3443034, 3443035, 3443036, 3443037, 3443038, 3443039, 3443040, 3443041, 3443042, 3443043, 3443044, 3443045, 3443046, 3443047, 3443048, 3443049, 3443050, 3443051, 3443052, 3443053, 3443054, 3443055, 3443056, 3443057, 3443058, 3443059, 3443060, 3443061, 3443062, 3443063, 3443064, 3443065, 3443066]"
3010006,"[353124, 353126, 353128, 353129, 353123, 353125, 353127]","[3443067, 3443068, 3443069, 3443070, 3443071, 3443072, 3443073, 3443074, 3443075, 3443076, 3443077, 3443078, 3443079, 3443080, 3443081, 3443082, 3443083, 3443084, 3443085, 3443086, 3443087, 3443088, 3443089, 3443090, 3443091, 3443092, 3443093, 3443094, 3443095, 3443096, 3443097, 3443098, 3443099, 3443100, 3443101, 3443102, 3443103, 3443104, 3443105, 3443106, 3443107, 3443108, 3443109, 3443110, 3443111, 3443112, 3443113, 3443114, 3443115, 3443116, 3443117, 3443118, 3443119, 3443120, 3443121, 3443122, 3443123, 3443124, 3443125, 3443126, 3443127, 3443128, 3443129, 3443130, 3443131]"
3010007,[353129],[3443132]
3020006,"[353163, 353165, 353160, 353161, 353162]","[3442611, 3442612, 3442613, 3442614, 3442615, 3442616, 3442617, 3442618, 3442619, 3442620, 3442621, 3442622, 3442623, 3442624, 3442625, 3442626, 3442627, 3442628, 3442629, 3442630, 3442631, 3442632, 3442664, 3442667, 3442668, 3442669, 3442670, 3442671, 3442672, 3442673, 3442674, 3442675, 3442676]"
3020007,"[353160, 353161, 353165, 353162, 353164]","[3442633, 3442634, 3442635, 3442636, 3442637, 3442638, 3442639, 3442640, 3442641, 3442642, 3442643, 3442644, 3442645, 3442646, 3442647, 3442648, 3442649, 3442650, 3442651, 3442652, 3442653, 3442654, 3442655, 3442656, 3442657, 3442658, 3442659, 3442660, 3442661, 3442662, 3442663, 3442665, 3442666]"
300002,"[354126, 354133, 354117]","[3442955, 3442956, 3442957, 3442958, 3442959, 3442960, 3442961, 3442962, 3442963, 3442964, 3442965, 3442966, 3442967, 3442968, 3442969, 3442970]"
500009,"[353172, 353171, 353170]","[3442226, 3442227, 3442228, 3442229, 3442230, 3442231, 3442232, 3442233, 3442234, 3442235, 3442236, 3442237, 3442238, 3442239, 3442240, 3442241]"
500006,"[353172, 353171, 353170]","[3442242, 3442243, 3442244, 3442245, 3442246, 3442247, 3442248, 3442249, 3442250, 3442251, 3442252, 3442253, 3442254, 3442255, 3442256]"
510017,"[353153, 353155, 353154]","[3442521, 3442522, 3442523, 3442524, 3442536, 3442537, 3442538, 3442539, 3442540, 3442541, 3442542, 3442543, 3442544, 3442552, 3442554]"
510011,"[353155, 353153, 353154]","[3442525, 3442526, 3442527, 3442528, 3442529, 3442530, 3442531, 3442532, 3442533, 3442534, 3442535, 3442553, 3442557, 3442558, 3442559, 3442560]"
510014,"[353153, 353155, 353154]","[3442545, 3442546, 3442547, 3442548, 3442549, 3442550, 3442551, 3442555, 3442570, 3442571, 3442579, 3442580, 3442581, 3442582, 3442583, 3442584]"
510027,[353153],[3442556]
510010,"[353154, 353153, 353155]","[3442561, 3442562, 3442563, 3442564, 3442565, 3442566, 3442567, 3442568, 3442569, 3442572, 3442573, 3442574, 3442575, 3442576, 3442577, 3442578]"
530004,[353167],"[3442370, 3442371, 3442372, 3442373, 3442374, 3442375, 3442376, 3442377, 3442378, 3442379, 3442380, 3442381, 3442382, 3442383, 3442384, 3442400]"
530005,[353156],"[3442385, 3442386, 3442387, 3442388, 3442389, 3442390, 3442391, 3442392, 3442393, 3442394, 3442395, 3442396, 3442397, 3442398, 3442399]"
550009,[353157],"[3442459, 3442460, 3442461, 3442462, 3442463, 3442464, 3442465, 3442466, 3442467, 3442468, 3442469, 3442470, 3442471, 3442472, 3442473, 3442474]"
550003,[353157],"[3442475, 3442476, 3442477, 3442478, 3442479, 3442480, 3442481, 3442482, 3442483, 3442484, 3442485, 3442486, 3442487, 3442488, 3442489, 3442490]"
560011,"[353168, 353169]","[3442296, 3442297, 3442298, 3442299, 3442300, 3442301, 3442302, 3442303, 3442304, 3442305, 3442306, 3442307, 3442308, 3442309, 3442310, 3442311, 3442312, 3442313, 3442314, 3442315, 3442316]"
560012,"[353168, 353169]","[3442317, 3442318, 3442319, 3442320, 3442321, 3442322, 3442323, 3442324, 3442325, 3442326, 3442327, 3442328, 3442329, 3442330, 3442331, 3442332, 3442333, 3442334, 3442335, 3442336, 3442337]"
580004,[353156],"[3442338, 3442339, 3442340, 3442341, 3442342, 3442343, 3442344, 3442345, 3442346, 3442347, 3442348, 3442349, 3442350, 3442351, 3442352, 3442353]"
580011,[353167],"[3442354, 3442355, 3442356, 3442357, 3442358, 3442359, 3442360, 3442361, 3442362, 3442363, 3442364, 3442365, 3442366, 3442367, 3442368, 3442369]"
610002,"[353158, 353159]","[3442401, 3442402, 3442403, 3442404, 3442405, 3442406, 3442407, 3442408, 3442409, 3442410, 3442411, 3442412, 3442413, 3442414, 3442415, 3442416, 3442417, 3442418, 3442419, 3442420, 3442421, 3442422, 3442423, 3442424, 3442425, 3442426, 3442427, 3442428, 3442429]"
610004,"[353158, 353159]","[3442430, 3442431, 3442432, 3442433, 3442434, 3442435, 3442436, 3442437, 3442438, 3442439, 3442440, 3442441, 3442442, 3442443, 3442444, 3442445, 3442446, 3442447, 3442448, 3442449, 3442450, 3442451, 3442452, 3442453, 3442454, 3442455, 3442456, 3442457, 3442458]"
630005,[353157],"[3442491, 3442492, 3442493, 3442494, 3442495, 3442496, 3442497, 3442498, 3442499, 3442500, 3442501, 3442502, 3442503, 3442504, 3442505]"
630002,[353157],"[3442506, 3442507, 3442508, 3442509, 3442510, 3442511, 3442512, 3442513, 3442514, 3442515, 3442516, 3442517, 3442518, 3442519, 3442520]"
650020,"[353168, 353169, 353170]","[3442257, 3442258, 3442262, 3442263, 3442264, 3442265, 3442266, 3442267, 3442268, 3442269, 3442270, 3442271, 3442272, 3442273, 3442291, 3442292, 3442293, 3442294, 3442295]"
650009,"[353169, 353168, 353170]","[3442259, 3442260, 3442261, 3442274, 3442275, 3442276, 3442277, 3442278, 3442279, 3442280, 3442281, 3442282, 3442283, 3442284, 3442285, 3442286, 3442287, 3442288, 3442289, 3442290]"
60019,"[354127, 354130, 354129, 354131, 354128]","[3442921, 3442922, 3442923, 3442924, 3442925, 3442926, 3442927, 3442928, 3442929, 3442930, 3442931, 3442932, 3442933, 3442934, 3442935, 3442936, 3442937]"
60020,"[354127, 354130, 354129, 354131, 354128]","[3442938, 3442939, 3442940, 3442941, 3442942, 3442943, 3442944, 3442945, 3442946, 3442947, 3442948, 3442949, 3442950, 3442951, 3442952, 3442953]"
60013,[354128],[3442954]
70001,"[354123, 354125, 354121]","[3442855, 3442856, 3442857, 3442858, 3442859, 3442860, 3442861, 3442862, 3442863, 3442864, 3442865, 3442866, 3442867, 3442868, 3442869, 3442870, 3442871, 3442872, 3442873, 3442874, 3442875, 3442876, 3442877, 3442878, 3442879, 3442880, 3442881, 3442882, 3442883, 3442884, 3442885, 3442886, 3442887]"
70019,"[354123, 354121, 354125]","[3442888, 3442889, 3442890, 3442891, 3442892, 3442893, 3442894, 3442895, 3442896, 3442897, 3442898, 3442899, 3442900, 3442901, 3442902, 3442903, 3442904, 3442905, 3442906, 3442907, 3442908, 3442909, 3442910, 3442911, 3442912, 3442913, 3442914, 3442915, 3442916, 3442917, 3442918, 3442919]"
70004,[354125],[3442920]
80008,"[354119, 354124, 354132, 354120, 354122, 354118]","[3442787, 3442788, 3442789, 3442790, 3442791, 3442792, 3442793, 3442794, 3442795, 3442796, 3442797, 3442798, 3442799, 3442800, 3442801, 3442802, 3442803, 3442804, 3442805, 3442806, 3442807, 3442808, 3442809, 3442810, 3442811, 3442812, 3442813, 3442814, 3442815, 3442816, 3442817, 3442818, 3442819]"
80020,"[354122, 354118, 354119, 354124, 354132, 354120]","[3442820, 3442821, 3442822, 3442823, 3442824, 3442825, 3442826, 3442827, 3442828, 3442829, 3442830, 3442831, 3442832, 3442833, 3442834, 3442835, 3442836, 3442837, 3442838, 3442839, 3442840, 3442841, 3442842, 3442843, 3442844, 3442845, 3442846, 3442847, 3442848, 3442849, 3442850, 3442851, 3442852, 3442853]"
80011,[354122],[3442854]
90006,"[354133, 354117, 354126]","[3442754, 3442771, 3442772, 3442773, 3442774, 3442775, 3442776, 3442777, 3442778, 3442779, 3442780, 3442781, 3442782, 3442783, 3442784, 3442785, 3442786]"
90005,"[354133, 354126, 354117]","[3442755, 3442756, 3442757, 3442758, 3442759, 3442760, 3442761, 3442762, 3442763, 3442764, 3442765, 3442766, 3442767, 3442768, 3442769, 3442770]"
